"","ensembl_gene_id","hgnc_symbol","description","gene_biotype"
"2674","ENSG00000102743","SLC25A15","solute carrier family 25 member 15","protein_coding"
"2675","ENSG00000102753","KPNA3","karyopherin subunit alpha 3","protein_coding"
"2676","ENSG00000102755","FLT1","fms related receptor tyrosine kinase 1","protein_coding"
"2677","ENSG00000102760","RGCC","regulator of cell cycle","protein_coding"
"2678","ENSG00000102763","VWA8","von Willebrand factor A domain containing 8","protein_coding"
"2679","ENSG00000102780","DGKH","diacylglycerol kinase eta","protein_coding"
"2680","ENSG00000102781","KATNAL1","katanin catalytic subunit A1 like 1","protein_coding"
"2681","ENSG00000102786","INTS6","integrator complex subunit 6","protein_coding"
"2682","ENSG00000102794","ACOD1","aconitate decarboxylase 1","protein_coding"
"2683","ENSG00000102796","DHRS12","dehydrogenase/reductase 12","protein_coding"
"2684","ENSG00000102802","MEDAG","mesenteric estrogen dependent adipogenesis","protein_coding"
"2685","ENSG00000102804","TSC22D1","TSC22 domain family member 1","protein_coding"
"2686","ENSG00000102805","CLN5","CLN5 intracellular trafficking protein","protein_coding"
"2687","ENSG00000102837","OLFM4","olfactomedin 4","protein_coding"
"2688","ENSG00000102854","MSLN","mesothelin","protein_coding"
"2689","ENSG00000102858","MGRN1","mahogunin ring finger 1","protein_coding"
"2690","ENSG00000102870","ZNF629","zinc finger protein 629","protein_coding"
"2691","ENSG00000102871","TRADD","TNFRSF1A associated via death domain","protein_coding"
"2692","ENSG00000102878","HSF4","heat shock transcription factor 4","protein_coding"
"2693","ENSG00000102879","CORO1A","coronin 1A","protein_coding"
"2694","ENSG00000102882","MAPK3","mitogen-activated protein kinase 3","protein_coding"
"2695","ENSG00000102886","GDPD3","glycerophosphodiester phosphodiesterase domain containing 3","protein_coding"
"2696","ENSG00000102890","ELMO3","engulfment and cell motility 3","protein_coding"
"2697","ENSG00000102891","MT4","metallothionein 4","protein_coding"
"2698","ENSG00000102893","PHKB","phosphorylase kinase regulatory subunit beta","protein_coding"
"2699","ENSG00000102897","LYRM1","LYR motif containing 1","protein_coding"
"2700","ENSG00000102898","NUTF2","nuclear transport factor 2","protein_coding"
"2701","ENSG00000102900","NUP93","nucleoporin 93","protein_coding"
"2702","ENSG00000102901","CENPT","centromere protein T","protein_coding"
"2703","ENSG00000102904","TSNAXIP1","translin associated factor X interacting protein 1","protein_coding"
"2704","ENSG00000102908","NFAT5","nuclear factor of activated T cells 5","protein_coding"
"2705","ENSG00000102910","LONP2","lon peptidase 2, peroxisomal","protein_coding"
"2706","ENSG00000102921","N4BP1","NEDD4 binding protein 1","protein_coding"
"2707","ENSG00000102924","CBLN1","cerebellin 1 precursor","protein_coding"
"2708","ENSG00000102931","ARL2BP","ADP ribosylation factor like GTPase 2 binding protein","protein_coding"
"2709","ENSG00000102934","PLLP","plasmolipin","protein_coding"
"2710","ENSG00000102935","ZNF423","zinc finger protein 423","protein_coding"
"2711","ENSG00000102962","CCL22","C-C motif chemokine ligand 22","protein_coding"
"2712","ENSG00000102967","DHODH","dihydroorotate dehydrogenase (quinone)","protein_coding"
"2713","ENSG00000102970","CCL17","C-C motif chemokine ligand 17","protein_coding"
"2714","ENSG00000102974","CTCF","CCCTC-binding factor","protein_coding"
"2715","ENSG00000102977","ACD","ACD shelterin complex subunit and telomerase recruitment factor","protein_coding"
"2716","ENSG00000102978","POLR2C","RNA polymerase II subunit C","protein_coding"
"2717","ENSG00000102981","PARD6A","par-6 family cell polarity regulator alpha","protein_coding"
"2718","ENSG00000102984","ZNF821","zinc finger protein 821","protein_coding"
"2719","ENSG00000102996","MMP15","matrix metallopeptidase 15","protein_coding"
"2720","ENSG00000103005","USB1","U6 snRNA biogenesis phosphodiesterase 1","protein_coding"
"2721","ENSG00000103018","CYB5B","cytochrome b5 type B","protein_coding"
"2722","ENSG00000103021","CCDC113","coiled-coil domain containing 113","protein_coding"
"2723","ENSG00000103023","PRSS54","serine protease 54","protein_coding"
"2724","ENSG00000103024","NME3","NME/NM23 nucleoside diphosphate kinase 3","protein_coding"
"2725","ENSG00000103034","NDRG4","NDRG family member 4","protein_coding"
"2726","ENSG00000103035","PSMD7","proteasome 26S subunit, non-ATPase 7","protein_coding"
"2727","ENSG00000103037","SETD6","SET domain containing 6, protein lysine methyltransferase","protein_coding"
"2728","ENSG00000103042","SLC38A7","solute carrier family 38 member 7","protein_coding"
"2729","ENSG00000103043","VAC14","VAC14 component of PIKFYVE complex","protein_coding"
"2730","ENSG00000103044","HAS3","hyaluronan synthase 3","protein_coding"
"2731","ENSG00000103047","TANGO6","transport and golgi organization 6 homolog","protein_coding"
"2732","ENSG00000103051","COG4","component of oligomeric golgi complex 4","protein_coding"
"2733","ENSG00000103056","SMPD3","sphingomyelin phosphodiesterase 3","protein_coding"
"2734","ENSG00000103061","SLC7A6OS","solute carrier family 7 member 6 opposite strand","protein_coding"
"2735","ENSG00000103064","SLC7A6","solute carrier family 7 member 6","protein_coding"
"2736","ENSG00000103066","PLA2G15","phospholipase A2 group XV","protein_coding"
"2737","ENSG00000103067","ESRP2","epithelial splicing regulatory protein 2","protein_coding"
"2738","ENSG00000103089","FA2H","fatty acid 2-hydroxylase","protein_coding"
"2739","ENSG00000103091","WDR59","WD repeat domain 59","protein_coding"
"2740","ENSG00000103111","MON1B","MON1 homolog B, secretory trafficking associated","protein_coding"
"2741","ENSG00000103121","CMC2","C-X9-C motif containing 2","protein_coding"
"2742","ENSG00000103126","AXIN1","axin 1","protein_coding"
"2743","ENSG00000103145","HCFC1R1","host cell factor C1 regulator 1","protein_coding"
"2744","ENSG00000103148","NPRL3","NPR3 like, GATOR1 complex subunit","protein_coding"
"2745","ENSG00000103150","MLYCD","malonyl-CoA decarboxylase","protein_coding"
"2746","ENSG00000103152","MPG","N-methylpurine DNA glycosylase","protein_coding"
"2747","ENSG00000103154","NECAB2","N-terminal EF-hand calcium binding protein 2","protein_coding"
"2748","ENSG00000103160","HSDL1","hydroxysteroid dehydrogenase like 1","protein_coding"
"2749","ENSG00000103168","TAF1C","TATA-box binding protein associated factor, RNA polymerase I subunit C","protein_coding"
"2750","ENSG00000103174","NAGPA","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase","protein_coding"
"2751","ENSG00000103175","WFDC1","WAP four-disulfide core domain 1","protein_coding"
"2752","ENSG00000103184","SEC14L5","SEC14 like lipid binding 5","protein_coding"
"2753","ENSG00000103187","COTL1","coactosin like F-actin binding protein 1","protein_coding"
"2754","ENSG00000103194","USP10","ubiquitin specific peptidase 10","protein_coding"
"2755","ENSG00000103196","CRISPLD2","cysteine rich secretory protein LCCL domain containing 2","protein_coding"
"2756","ENSG00000103197","TSC2","TSC complex subunit 2","protein_coding"
"2757","ENSG00000103199","ZNF500","zinc finger protein 500","protein_coding"
"2758","ENSG00000103202","NME4","NME/NM23 nucleoside diphosphate kinase 4","protein_coding"
"2759","ENSG00000103222","ABCC1","ATP binding cassette subfamily C member 1","protein_coding"
"2760","ENSG00000103226","NOMO3","NODAL modulator 3","protein_coding"
"2761","ENSG00000103227","LMF1","lipase maturation factor 1","protein_coding"
"2762","ENSG00000103241","FOXF1","forkhead box F1","protein_coding"
"2763","ENSG00000103245","CIAO3","cytosolic iron-sulfur assembly component 3","protein_coding"
"2764","ENSG00000103248","MTHFSD","methenyltetrahydrofolate synthetase domain containing","protein_coding"
"2765","ENSG00000103249","CLCN7","chloride voltage-gated channel 7","protein_coding"
"2766","ENSG00000103253","HAGHL","hydroxyacylglutathione hydrolase like","protein_coding"
"2767","ENSG00000103254","ANTKMT","adenine nucleotide translocase lysine methyltransferase","protein_coding"
"2768","ENSG00000103257","SLC7A5","solute carrier family 7 member 5","protein_coding"
"2769","ENSG00000103260","METRN","meteorin, glial cell differentiation regulator","protein_coding"
"2770","ENSG00000103264","FBXO31","F-box protein 31","protein_coding"
"2771","ENSG00000103266","STUB1","STIP1 homology and U-box containing protein 1","protein_coding"
"2772","ENSG00000103269","RHBDL1","rhomboid like 1","protein_coding"
"2773","ENSG00000103274","NUBP1","NUBP iron-sulfur cluster assembly factor 1, cytosolic","protein_coding"
"2774","ENSG00000103275","UBE2I","ubiquitin conjugating enzyme E2 I","protein_coding"
"2775","ENSG00000103310","ZP2","zona pellucida glycoprotein 2","protein_coding"
"2776","ENSG00000103313","MEFV","MEFV innate immunity regulator, pyrin","protein_coding"
"2777","ENSG00000103316","CRYM","crystallin mu","protein_coding"
"2778","ENSG00000103319","EEF2K","eukaryotic elongation factor 2 kinase","protein_coding"
"2779","ENSG00000103326","CAPN15","calpain 15","protein_coding"
"2780","ENSG00000103335","PIEZO1","piezo type mechanosensitive ion channel component 1","protein_coding"
"2781","ENSG00000103342","GSPT1","G1 to S phase transition 1","protein_coding"
"2782","ENSG00000103343","ZNF174","zinc finger protein 174","protein_coding"
"2783","ENSG00000103351","CLUAP1","clusterin associated protein 1","protein_coding"
"2784","ENSG00000103353","UBFD1","ubiquitin family domain containing 1","protein_coding"
"2785","ENSG00000103355","PRSS33","serine protease 33","protein_coding"
"2786","ENSG00000103356","EARS2","glutamyl-tRNA synthetase 2, mitochondrial","protein_coding"
"2787","ENSG00000103363","ELOB","elongin B","protein_coding"
"2788","ENSG00000103365","GGA2","golgi associated, gamma adaptin ear containing, ARF binding protein 2","protein_coding"
"2789","ENSG00000103375","AQP8","aquaporin 8","protein_coding"
"2790","ENSG00000103381","CPPED1","calcineurin like phosphoesterase domain containing 1","protein_coding"
"2791","ENSG00000103404","USP31","ubiquitin specific peptidase 31","protein_coding"
"2792","ENSG00000103415","HMOX2","heme oxygenase 2","protein_coding"
"2793","ENSG00000103423","DNAJA3","DnaJ heat shock protein family (Hsp40) member A3","protein_coding"
"2794","ENSG00000103426","CORO7-PAM16","CORO7-PAM16 readthrough","protein_coding"
"2795","ENSG00000103429","BFAR","bifunctional apoptosis regulator","protein_coding"
"2796","ENSG00000103449","SALL1","spalt like transcription factor 1","protein_coding"
"2797","ENSG00000103460","TOX3","TOX high mobility group box family member 3","protein_coding"
"2798","ENSG00000103479","RBL2","RB transcriptional corepressor like 2","protein_coding"
"2799","ENSG00000103485","QPRT","quinolinate phosphoribosyltransferase","protein_coding"
"2800","ENSG00000103489","XYLT1","xylosyltransferase 1","protein_coding"
"2801","ENSG00000103490","PYCARD","PYD and CARD domain containing","protein_coding"
"2802","ENSG00000103494","RPGRIP1L","RPGRIP1 like","protein_coding"
"2803","ENSG00000103495","MAZ","MYC associated zinc finger protein","protein_coding"
"2804","ENSG00000103496","STX4","syntaxin 4","protein_coding"
"2805","ENSG00000103502","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","protein_coding"
"2806","ENSG00000103507","BCKDK","branched chain keto acid dehydrogenase kinase","protein_coding"
"2807","ENSG00000103510","KAT8","lysine acetyltransferase 8","protein_coding"
"2808","ENSG00000103512","NOMO1","NODAL modulator 1","protein_coding"
"2809","ENSG00000103522","IL21R","interleukin 21 receptor","protein_coding"
"2810","ENSG00000103528","SYT17","synaptotagmin 17","protein_coding"
"2811","ENSG00000103534","TMC5","transmembrane channel like 5","protein_coding"
"2812","ENSG00000103540","CCP110","centriolar coiled-coil protein 110","protein_coding"
"2813","ENSG00000103544","VPS35L","VPS35 endosomal protein sorting factor like","protein_coding"
"2814","ENSG00000103546","SLC6A2","solute carrier family 6 member 2","protein_coding"
"2815","ENSG00000103549","RNF40","ring finger protein 40","protein_coding"
"2816","ENSG00000103550","KNOP1","lysine rich nucleolar protein 1","protein_coding"
"2817","ENSG00000103569","AQP9","aquaporin 9","protein_coding"
"2818","ENSG00000103591","AAGAB","alpha and gamma adaptin binding protein","protein_coding"
"2819","ENSG00000103599","IQCH","IQ motif containing H","protein_coding"
"2820","ENSG00000103642","LACTB","lactamase beta","protein_coding"
"2821","ENSG00000103647","CORO2B","coronin 2B","protein_coding"
"2822","ENSG00000103653","CSK","C-terminal Src kinase","protein_coding"
"2823","ENSG00000103657","HERC1","HECT and RLD domain containing E3 ubiquitin protein ligase family member 1","protein_coding"
"2824","ENSG00000103671","TRIP4","thyroid hormone receptor interactor 4","protein_coding"
"2825","ENSG00000103707","MTFMT","mitochondrial methionyl-tRNA formyltransferase","protein_coding"
"2826","ENSG00000103710","RASL12","RAS like family 12","protein_coding"
"2827","ENSG00000103723","AP3B2","adaptor related protein complex 3 subunit beta 2","protein_coding"
"2828","ENSG00000103740","ACSBG1","acyl-CoA synthetase bubblegum family member 1","protein_coding"
"2829","ENSG00000103742","IGDCC4","immunoglobulin superfamily DCC subclass member 4","protein_coding"
"2830","ENSG00000103769","RAB11A","RAB11A, member RAS oncogene family","protein_coding"
"2831","ENSG00000103811","CTSH","cathepsin H","protein_coding"
"2832","ENSG00000103852","TTC23","tetratricopeptide repeat domain 23","protein_coding"
"2833","ENSG00000103855","CD276","CD276 molecule","protein_coding"
"2834","ENSG00000103876","FAH","fumarylacetoacetate hydrolase","protein_coding"
"2835","ENSG00000103888","CEMIP","cell migration inducing hyaluronidase 1","protein_coding"
"2836","ENSG00000103932","RPAP1","RNA polymerase II associated protein 1","protein_coding"
"2837","ENSG00000103942","HOMER2","homer scaffold protein 2","protein_coding"
"2838","ENSG00000103966","EHD4","EH domain containing 4","protein_coding"
"2839","ENSG00000103978","TMEM87A","transmembrane protein 87A","protein_coding"
"2840","ENSG00000103994","ZNF106","zinc finger protein 106","protein_coding"
"2841","ENSG00000103995","CEP152","centrosomal protein 152","protein_coding"
"2842","ENSG00000104043","ATP8B4","ATPase phospholipid transporting 8B4 (putative)","protein_coding"
"2843","ENSG00000104044","OCA2","OCA2 melanosomal transmembrane protein","protein_coding"
"2844","ENSG00000104047","DTWD1","DTW domain containing 1","protein_coding"
"2845","ENSG00000104055","TGM5","transglutaminase 5","protein_coding"
"2846","ENSG00000104059","ENTREP2","endosomal transmembrane epsin interactor 2","protein_coding"
"2847","ENSG00000104064","GABPB1","GA binding protein transcription factor subunit beta 1","protein_coding"
"2848","ENSG00000104067","TJP1","tight junction protein 1","protein_coding"
"2849","ENSG00000104081","BMF","Bcl2 modifying factor","protein_coding"
"2850","ENSG00000104093","DMXL2","Dmx like 2","protein_coding"
"2851","ENSG00000104112","SCG3","secretogranin III","protein_coding"
"2852","ENSG00000104129","DNAJC17","DnaJ heat shock protein family (Hsp40) member C17","protein_coding"
"2853","ENSG00000104131","EIF3J","eukaryotic translation initiation factor 3 subunit J","protein_coding"
"2854","ENSG00000104133","SPG11","SPG11 vesicle trafficking associated, spatacsin","protein_coding"
"2855","ENSG00000104140","RHOV","ras homolog family member V","protein_coding"
"2856","ENSG00000104142","VPS18","VPS18 core subunit of CORVET and HOPS complexes","protein_coding"
"2857","ENSG00000104147","OIP5","Opa interacting protein 5","protein_coding"
"2858","ENSG00000104154","SLC30A4","solute carrier family 30 member 4","protein_coding"
"2859","ENSG00000104164","BLOC1S6","biogenesis of lysosomal organelles complex 1 subunit 6","protein_coding"
"2860","ENSG00000104177","MYEF2","myelin expression factor 2","protein_coding"
"2861","ENSG00000104205","SGK3","serum/glucocorticoid regulated kinase family member 3","protein_coding"
"2862","ENSG00000104213","PDGFRL","platelet derived growth factor receptor like","protein_coding"
"2863","ENSG00000104218","CSPP1","centrosome and spindle pole associated protein 1","protein_coding"
"2864","ENSG00000104219","ZDHHC2","zinc finger DHHC-type palmitoyltransferase 2","protein_coding"
"2865","ENSG00000104221","BRF2","BRF2 RNA polymerase III transcription initiation factor subunit","protein_coding"
"2866","ENSG00000104228","TRIM35","tripartite motif containing 35","protein_coding"
"2867","ENSG00000104231","ZFAND1","zinc finger AN1-type containing 1","protein_coding"
"2868","ENSG00000104237","RP1","RP1 axonemal microtubule associated","protein_coding"
"2869","ENSG00000104267","CA2","carbonic anhydrase 2","protein_coding"
"2870","ENSG00000104290","FZD3","frizzled class receptor 3","protein_coding"
"2871","ENSG00000104299","INTS9","integrator complex subunit 9","protein_coding"
"2872","ENSG00000104312","RIPK2","receptor interacting serine/threonine kinase 2","protein_coding"
"2873","ENSG00000104313","EYA1","EYA transcriptional coactivator and phosphatase 1","protein_coding"
"2874","ENSG00000104320","NBN","nibrin","protein_coding"
"2875","ENSG00000104321","TRPA1","transient receptor potential cation channel subfamily A member 1","protein_coding"
"2876","ENSG00000104324","CPQ","carboxypeptidase Q","protein_coding"
"2877","ENSG00000104325","DECR1","2,4-dienoyl-CoA reductase 1","protein_coding"
"2878","ENSG00000104327","CALB1","calbindin 1","protein_coding"
"2879","ENSG00000104331","BPNT2","3'(2'), 5'-bisphosphate nucleotidase 2","protein_coding"
"2880","ENSG00000104332","SFRP1","secreted frizzled related protein 1","protein_coding"
"2881","ENSG00000104341","LAPTM4B","lysosomal protein transmembrane 4 beta","protein_coding"
"2882","ENSG00000104343","UBE2W","ubiquitin conjugating enzyme E2 W","protein_coding"
"2883","ENSG00000104356","POP1","POP1 homolog, ribonuclease P/MRP subunit","protein_coding"
"2884","ENSG00000104361","NIPAL2","NIPA like domain containing 2","protein_coding"
"2885","ENSG00000104365","IKBKB","inhibitor of nuclear factor kappa B kinase subunit beta","protein_coding"
"2886","ENSG00000104368","PLAT","plasminogen activator, tissue type","protein_coding"
"2887","ENSG00000104369","JPH1","junctophilin 1","protein_coding"
"2888","ENSG00000104371","DKK4","dickkopf WNT signaling pathway inhibitor 4","protein_coding"
"2889","ENSG00000104375","STK3","serine/threonine kinase 3","protein_coding"
"2890","ENSG00000104381","GDAP1","ganglioside induced differentiation associated protein 1","protein_coding"
"2891","ENSG00000104388","RAB2A","RAB2A, member RAS oncogene family","protein_coding"
"2892","ENSG00000104408","EIF3E","eukaryotic translation initiation factor 3 subunit E","protein_coding"
"2893","ENSG00000104412","EMC2","ER membrane protein complex subunit 2","protein_coding"
"2894","ENSG00000104413","ESRP1","epithelial splicing regulatory protein 1","protein_coding"
"2895","ENSG00000104415","CCN4","cellular communication network factor 4","protein_coding"
"2896","ENSG00000104419","NDRG1","N-myc downstream regulated 1","protein_coding"
"2897","ENSG00000104427","ZC2HC1A","zinc finger C2HC-type containing 1A","protein_coding"
"2898","ENSG00000104432","IL7","interleukin 7","protein_coding"
"2899","ENSG00000104435","STMN2","stathmin 2","protein_coding"
"2900","ENSG00000104442","ARMC1","armadillo repeat containing 1","protein_coding"
"2901","ENSG00000104447","TRPS1","transcriptional repressor GATA binding 1","protein_coding"
"2902","ENSG00000104450","SPAG1","sperm associated antigen 1","protein_coding"
"2903","ENSG00000104472","CHRAC1","chromatin accessibility complex subunit 1","protein_coding"
"2904","ENSG00000104490","NCALD","neurocalcin delta","protein_coding"
"2905","ENSG00000104497","SNX16","sorting nexin 16","protein_coding"
"2906","ENSG00000104499","GML","glycosylphosphatidylinositol anchored molecule like","protein_coding"
"2907","ENSG00000104517","UBR5","ubiquitin protein ligase E3 component n-recognin 5","protein_coding"
"2908","ENSG00000104518","GSDMD","gasdermin D","protein_coding"
"2909","ENSG00000104522","GFUS","GDP-L-fucose synthase","protein_coding"
"2910","ENSG00000104524","PYCR3","pyrroline-5-carboxylate reductase 3","protein_coding"
"2911","ENSG00000104529","EEF1D","eukaryotic translation elongation factor 1 delta","protein_coding"
"2912","ENSG00000104537","ANXA13","annexin A13","protein_coding"
"2913","ENSG00000104549","SQLE","squalene epoxidase","protein_coding"
"2914","ENSG00000104611","SH2D4A","SH2 domain containing 4A","protein_coding"
"2915","ENSG00000104613","INTS10","integrator complex subunit 10","protein_coding"
"2916","ENSG00000104626","ERI1","exoribonuclease 1","protein_coding"
"2917","ENSG00000104635","SLC39A14","solute carrier family 39 member 14","protein_coding"
"2918","ENSG00000104643","MTMR9","myotubularin related protein 9","protein_coding"
"2919","ENSG00000104660","LEPROTL1","leptin receptor overlapping transcript like 1","protein_coding"
"2920","ENSG00000104671","DCTN6","dynactin subunit 6","protein_coding"
"2921","ENSG00000104679","R3HCC1","R3H domain and coiled-coil containing 1","protein_coding"
"2922","ENSG00000104687","GSR","glutathione-disulfide reductase","protein_coding"
"2923","ENSG00000104689","TNFRSF10A","TNF receptor superfamily member 10a","protein_coding"
"2924","ENSG00000104691","UBXN8","UBX domain protein 8","protein_coding"
"2925","ENSG00000104695","PPP2CB","protein phosphatase 2 catalytic subunit beta","protein_coding"
"2926","ENSG00000104714","ERICH1","glutamate rich 1","protein_coding"
"2927","ENSG00000104722","NEFM","neurofilament medium chain","protein_coding"
"2928","ENSG00000104723","TUSC3","tumor suppressor candidate 3","protein_coding"
"2929","ENSG00000104728","ARHGEF10","Rho guanine nucleotide exchange factor 10","protein_coding"
"2930","ENSG00000104731","KLHDC4","kelch domain containing 4","protein_coding"
"2931","ENSG00000104738","MCM4","minichromosome maintenance complex component 4","protein_coding"
"2932","ENSG00000104755","ADAM2","ADAM metallopeptidase domain 2","protein_coding"
"2933","ENSG00000104756","KCTD9","potassium channel tetramerization domain containing 9","protein_coding"
"2934","ENSG00000104760","FGL1","fibrinogen like 1","protein_coding"
"2935","ENSG00000104763","ASAH1","N-acylsphingosine amidohydrolase 1","protein_coding"
"2936","ENSG00000104765","BNIP3L","BCL2 interacting protein 3 like","protein_coding"
"2937","ENSG00000104774","MAN2B1","mannosidase alpha class 2B member 1","protein_coding"
"2938","ENSG00000104783","KCNN4","potassium calcium-activated channel subfamily N member 4","protein_coding"
"2939","ENSG00000104804","TULP2","TUB like protein 2","protein_coding"
"2940","ENSG00000104805","NUCB1","nucleobindin 1","protein_coding"
"2941","ENSG00000104808","DHDH","dihydrodiol dehydrogenase","protein_coding"
"2942","ENSG00000104812","GYS1","glycogen synthase 1","protein_coding"
"2943","ENSG00000104814","MAP4K1","mitogen-activated protein kinase kinase kinase kinase 1","protein_coding"
"2944","ENSG00000104818","CGB2","chorionic gonadotropin subunit beta 2","protein_coding"
"2945","ENSG00000104823","ECH1","enoyl-CoA hydratase 1","protein_coding"
"2946","ENSG00000104824","HNRNPL","heterogeneous nuclear ribonucleoprotein L","protein_coding"
"2947","ENSG00000104825","NFKBIB","NFKB inhibitor beta","protein_coding"
"2948","ENSG00000104826","LHB","luteinizing hormone subunit beta","protein_coding"
"2949","ENSG00000104827","CGB3","chorionic gonadotropin subunit beta 3","protein_coding"
"2950","ENSG00000104833","TUBB4A","tubulin beta 4A class IVa","protein_coding"
"2951","ENSG00000104835","SARS2","seryl-tRNA synthetase 2, mitochondrial","protein_coding"
"2952","ENSG00000104848","KCNA7","potassium voltage-gated channel subfamily A member 7","protein_coding"
"2953","ENSG00000104852","SNRNP70","small nuclear ribonucleoprotein U1 subunit 70","protein_coding"
"2954","ENSG00000104853","CLPTM1","CLPTM1 regulator of GABA type A receptor forward trafficking","protein_coding"
"2955","ENSG00000104856","RELB","RELB proto-oncogene, NF-kB subunit","protein_coding"
"2956","ENSG00000104859","CLASRP","CLK4 associating serine/arginine rich protein","protein_coding"
"2957","ENSG00000104863","LIN7B","lin-7 homolog B, crumbs cell polarity complex component","protein_coding"
"2958","ENSG00000104866","PPP1R37","protein phosphatase 1 regulatory subunit 37","protein_coding"
"2959","ENSG00000104870","FCGRT","Fc gamma receptor and transporter","protein_coding"
"2960","ENSG00000104872","PIH1D1","PIH1 domain containing 1","protein_coding"
"2961","ENSG00000104879","CKM","creatine kinase, M-type","protein_coding"
"2962","ENSG00000104880","ARHGEF18","Rho/Rac guanine nucleotide exchange factor 18","protein_coding"
"2963","ENSG00000104881","PPP1R13L","protein phosphatase 1 regulatory subunit 13 like","protein_coding"
"2964","ENSG00000104883","PEX11G","peroxisomal biogenesis factor 11 gamma","protein_coding"
"2965","ENSG00000104884","ERCC2","ERCC excision repair 2, TFIIH core complex helicase subunit","protein_coding"
"2966","ENSG00000104885","DOT1L","DOT1 like histone lysine methyltransferase","protein_coding"
"2967","ENSG00000104886","PLEKHJ1","pleckstrin homology domain containing J1","protein_coding"
"2968","ENSG00000104888","SLC17A7","solute carrier family 17 member 7","protein_coding"
"2969","ENSG00000104889","RNASEH2A","ribonuclease H2 subunit A","protein_coding"
"2970","ENSG00000104892","KLC3","kinesin light chain 3","protein_coding"
"2971","ENSG00000104894","CD37","CD37 molecule","protein_coding"
"2972","ENSG00000104897","SF3A2","splicing factor 3a subunit 2","protein_coding"
"2973","ENSG00000104899","AMH","anti-Mullerian hormone","protein_coding"
"2974","ENSG00000104901","DKKL1","dickkopf like acrosomal protein 1","protein_coding"
"2975","ENSG00000104903","LYL1","LYL1 basic helix-loop-helix family member","protein_coding"
"2976","ENSG00000104904","OAZ1","ornithine decarboxylase antizyme 1","protein_coding"
"2977","ENSG00000104907","TRMT1","tRNA methyltransferase 1","protein_coding"
"2978","ENSG00000104915","STX10","syntaxin 10","protein_coding"
"2979","ENSG00000104918","RETN","resistin","protein_coding"
"2980","ENSG00000104921","FCER2","Fc epsilon receptor II","protein_coding"
"2981","ENSG00000104936","DMPK","DM1 protein kinase","protein_coding"
"2982","ENSG00000104938","CLEC4M","C-type lectin domain family 4 member M","protein_coding"
"2983","ENSG00000104941","RSPH6A","radial spoke head 6 homolog A","protein_coding"
"2984","ENSG00000104946","TBC1D17","TBC1 domain family member 17","protein_coding"
"2985","ENSG00000104951","IL4I1","interleukin 4 induced 1","protein_coding"
"2986","ENSG00000104953","TLE6","TLE family member 6, subcortical maternal complex member","protein_coding"
"2987","ENSG00000104957","YJU2B","YJU2 splicing factor homolog B","protein_coding"
"2988","ENSG00000104960","PTOV1","PTOV1 extended AT-hook containing adaptor protein","protein_coding"
"2989","ENSG00000104964","TLE5","TLE family member 5, transcriptional modulator","protein_coding"
"2990","ENSG00000104967","NOVA2","NOVA alternative splicing regulator 2","protein_coding"
"2991","ENSG00000104969","SGTA","small glutamine rich tetratricopeptide repeat co-chaperone alpha","protein_coding"
"2992","ENSG00000104972","LILRB1","leukocyte immunoglobulin like receptor B1","protein_coding"
"2993","ENSG00000104973","MED25","mediator complex subunit 25","protein_coding"
"2994","ENSG00000104974","LILRA1","leukocyte immunoglobulin like receptor A1","protein_coding"
"2995","ENSG00000104976","SNAPC2","small nuclear RNA activating complex polypeptide 2","protein_coding"
"2996","ENSG00000104979","C19orf53","chromosome 19 open reading frame 53","protein_coding"
"2997","ENSG00000104980","TIMM44","translocase of inner mitochondrial membrane 44","protein_coding"
"2998","ENSG00000104983","CCDC61","coiled-coil domain containing 61","protein_coding"
"2999","ENSG00000104998","IL27RA","interleukin 27 receptor subunit alpha","protein_coding"
"3000","ENSG00000105011","ASF1B","anti-silencing function 1B histone chaperone","protein_coding"
"3001","ENSG00000105048","TNNT1","troponin T1, slow skeletal type","protein_coding"
"3002","ENSG00000105053","VRK3","VRK serine/threonine kinase 3","protein_coding"
"3003","ENSG00000105058","FAM32A","family with sequence similarity 32 member A","protein_coding"
"3004","ENSG00000105063","PPP6R1","protein phosphatase 6 regulatory subunit 1","protein_coding"
"3005","ENSG00000105072","C19orf44","chromosome 19 open reading frame 44","protein_coding"
"3006","ENSG00000105085","MED26","mediator complex subunit 26","protein_coding"
"3007","ENSG00000105088","OLFM2","olfactomedin 2","protein_coding"
"3008","ENSG00000105122","RASAL3","RAS protein activator like 3","protein_coding"
"3009","ENSG00000105127","AKAP8","A-kinase anchoring protein 8","protein_coding"
"3010","ENSG00000105131","EPHX3","epoxide hydrolase 3","protein_coding"
"3011","ENSG00000105135","ILVBL","ilvB acetolactate synthase like","protein_coding"
"3012","ENSG00000105136","ZNF419","zinc finger protein 419","protein_coding"
"3013","ENSG00000105137","SYDE1","synapse defective Rho GTPase homolog 1","protein_coding"
"3014","ENSG00000105141","CASP14","caspase 14","protein_coding"
"3015","ENSG00000105143","SLC1A6","solute carrier family 1 member 6","protein_coding"
"3016","ENSG00000105146","AURKC","aurora kinase C","protein_coding"
"3017","ENSG00000105171","POP4","POP4 homolog, ribonuclease P/MRP subunit","protein_coding"
